,strain_db,strain_api,error details,organism_type
2199,7367,13740,--,2
2200,7368,13741,--,2
2201,7389,13742,--,2
2202,7391,13743,--,2
2203,7393,13744,--,2
2204,7408,13745,--,2
2205,7409,13746,--,2
2206,7432,13747,--,2
2207,7433,13748,--,2
2208,7434,13749,--,2
2209,7445,13750,--,2
2210,7446,13751,--,2
2211,7458,13752,--,2
2212,7459,13753,--,2
2213,7460,13754,--,2
2214,7461,13755,--,2
2215,7462,13756,--,2
2216,7464,13757,--,2
2217,7469,13758,--,2
2218,7470,13759,--,2
2219,7472,13760,--,2
2220,7473,13761,--,2
2221,7475,13762,--,2
2222,7490,13763,--,2
2223,7491,13764,--,2
2224,7495,13765,--,2
2225,7502,13766,--,2
2226,7503,13767,--,2
2227,7504,13768,--,2
2228,7507,13769,--,2
2229,7513,13770,--,2
2230,7522,13771,--,2
2231,7524,13772,--,2
2232,7525,13773,--,2
2233,7527,13774,--,2
2234,7528,13775,--,2
2235,7529,13776,--,2
2236,7530,13777,--,2
2237,7531,13778,--,2
2238,7532,13779,--,2
2239,7537,13780,--,2
2240,7538,13781,--,2
2241,7539,13782,--,2
2242,7540,13783,--,2
2243,7541,13784,--,2
2244,7542,13785,--,2
2245,7543,13786,--,2
2246,7560,13787,--,2
2247,7561,13788,--,2
2248,7577,13789,--,2
2249,7578,13790,--,2
2250,7579,13791,--,2
2251,7580,13792,--,2
2252,7581,13793,--,2
2253,7582,13794,--,2
2254,7583,13795,--,2
2255,7584,13796,--,2
2256,7590,13797,--,2
2257,7591,13798,--,2
2258,7592,13799,--,2
2259,7593,13800,--,2
2260,7594,13801,--,2
2261,7605,13802,--,2
2262,7606,13803,--,2
2263,7607,13804,--,2
2264,7609,13805,--,2
2265,7610,13806,--,2
2266,7611,13807,--,2
2267,7624,13808,--,2
2268,7625,13809,--,2
2269,7628,13810,--,2
2270,7647,13811,--,2
2271,7650,13812,--,2
2272,7661,13813,--,2
2273,7663,13814,--,2
2274,7673,13815,--,2
2275,7674,13816,--,2
2276,7679,13817,--,2
2277,7680,13818,--,2
2278,7690,13819,--,2
2279,7695,13820,--,2
2280,7696,13821,--,2
2281,7715,13822,--,2
2282,7716,13823,--,2
2283,7717,13824,--,2
2284,7723,13825,--,2
2285,7725,13826,--,2
2286,7727,13827,--,2
2287,7728,13828,--,2
2288,7729,13829,--,2
2289,7730,13830,--,2
2290,7731,13831,--,2
2291,7733,13832,--,2
2292,7734,13833,--,2
2293,7735,13834,--,2
2294,7736,13835,--,2
2295,7737,13836,--,2
2296,7743,13837,--,2
2297,7744,13838,--,2
2298,7748,13839,--,2
2299,7749,13840,--,2
2300,7750,13841,--,2
2301,7751,13842,--,2
2302,7752,13843,--,2
2303,7753,13844,--,2
2304,7754,13845,--,2
2305,7755,13846,--,2
2306,7756,13847,--,2
2307,7758,13848,--,2
2308,7759,13849,--,2
2309,7760,13850,--,2
2310,7762,13851,--,2
2311,7763,13852,--,2
2312,7764,13853,--,2
2313,7765,13854,--,2
2314,7766,13855,--,2
2315,7767,13856,--,2
2316,7768,13857,--,2
2317,7769,13858,--,2
2318,7770,13859,--,2
2319,7777,13860,--,2
2320,7778,13861,--,2
2321,7779,13862,--,2
2322,7780,13863,--,2
2323,7783,13864,--,2
2324,7784,13865,--,2
2325,7785,13866,--,2
2326,7786,13867,--,2
2327,7797,13868,--,2
2328,7798,13869,--,2
2329,7800,13870,--,2
2330,7802,13871,--,2
2331,7803,13872,--,2
2332,7804,13873,--,2
2333,7805,13874,--,2
2334,7810,13875,--,2
2335,7811,13876,--,2
2336,7812,13877,--,2
2337,7813,13878,--,2
2338,7815,13879,--,2
2339,7816,13880,--,2
2340,7817,13881,--,2
2341,7818,13882,--,2
2342,7819,13883,--,2
2343,7820,13884,--,2
2344,7821,13885,--,2
2345,7822,13886,--,2
2346,7823,13887,--,2
2347,7824,13888,--,2
2348,7825,13889,--,2
2349,7840,13890,--,2
2350,7860,13891,--,2
2351,7861,13892,--,2
2352,7863,13893,--,2
2353,7864,13894,--,2
2354,7865,13895,--,2
2355,7866,13896,--,2
2356,7887,13897,--,2
2357,7888,13898,--,2
2358,7889,13899,--,2
2359,7890,13900,--,2
2360,7891,13901,--,2
2361,7892,13902,--,2
2362,7893,13903,--,2
2363,7894,13904,--,2
2364,7895,13905,--,2
2365,7896,13906,--,2
2366,7897,13907,--,2
2367,7898,13908,--,2
2368,7899,13909,--,2
2369,7900,13910,--,2
2370,7901,13911,--,2
2371,7902,13912,--,2
2372,7903,13913,--,2
2373,7904,13914,--,2
2374,7905,13915,--,2
2375,7906,13916,--,2
2376,7907,13917,--,2
2377,7908,13918,--,2
2378,7909,13919,--,2
2379,7916,13920,--,2
2380,7917,13921,--,2
2381,7918,13922,--,2
2382,7920,13923,--,2
2383,7921,13924,--,2
2384,7922,13925,--,2
2385,7923,13926,--,2
2386,7924,13927,--,2
2387,7925,13928,--,2
2388,7926,13929,--,2
2389,7927,13930,--,2
2390,7928,13931,--,2
2391,7929,13932,--,2
2392,7930,13933,--,2
2393,7931,13934,--,2
2394,7932,13935,--,2
2395,7933,13936,--,2
2396,7934,13937,--,2
2397,7935,13938,--,2
2398,7936,13939,--,2
2399,7937,13940,--,2
2400,7938,13941,--,2
2401,7939,13942,--,2
2402,7941,13943,--,2
2403,7942,13944,--,2
2404,7943,13945,--,2
2405,7944,13946,--,2
2406,7945,13947,--,2
2407,7946,13948,--,2
2408,7947,13949,--,2
2409,7948,13950,--,2
2410,7951,13951,--,2
2411,7952,13952,--,2
2412,7953,13953,--,2
2413,7955,13954,--,2
2414,7956,13955,--,2
2415,7957,13956,--,2
2416,7958,13957,--,2
2417,7959,13958,--,2
2418,7960,13959,--,2
2419,7961,13960,--,2
2420,7962,13961,--,2
2421,7963,13962,--,2
2422,7964,13963,--,2
2423,7965,13964,--,2
2424,7966,13965,--,2
2425,7967,13966,--,2
2426,7968,13967,--,2
2427,7970,13968,--,2
2428,7971,13969,--,2
2429,7972,13970,--,2
2430,7973,13971,--,2
2431,7974,13972,--,2
2432,7981,13973,--,2
2433,7983,13974,--,2
2434,8004,13975,--,2
2435,8005,13976,--,2
2436,8006,13977,--,2
2437,8007,13978,--,2
2438,8008,13979,--,2
2439,8009,13980,--,2
2440,8010,13981,--,2
2441,8011,13982,--,2
2442,8012,13983,--,2
2443,8014,13984,--,2
2444,8015,13985,--,2
2445,8016,13986,--,2
2446,8017,13987,--,2
2447,8018,13988,--,2
2448,8019,13989,--,2
2449,8020,13990,--,2
2450,8026,13991,--,2
2451,8028,13992,--,2
2452,8029,13993,--,2
2453,8030,13994,--,2
2454,8031,13995,--,2
2455,8033,13996,--,2
2456,8034,13997,--,2
2457,8035,13998,--,2
2458,8036,13999,--,2
2459,8038,14000,--,2
2460,8039,14001,--,2
2461,8041,14002,--,2
2462,8043,14003,--,2
2463,8044,14004,--,2
2464,8045,14005,-1,3
2465,8046,14006,--,2
2466,8047,14007,--,2
2467,8048,14008,--,2
2468,8061,14009,--,2
2469,8062,14010,--,2
2470,8063,14011,--,2
2471,8064,14012,--,2
2472,8065,14013,--,2
2473,8066,14014,--,2
2474,8067,14015,--,2
2475,8068,14016,--,2
2476,8074,14017,--,2
2477,8075,14018,--,2
2478,8076,14019,--,2
2479,8077,14020,--,2
2480,8078,14021,--,2
2481,8079,14022,--,2
2482,8080,14023,--,2
2483,8081,14024,--,2
2484,8083,14025,--,2
2485,8084,14026,--,2
2486,8085,14027,--,2
2487,8086,14028,--,2
2488,8087,14029,--,2
2489,8088,14030,--,2
2490,8089,14031,--,2
2491,8090,14032,--,2
2492,8091,14033,--,2
2493,8092,14034,--,2
2494,8108,14035,--,2
2495,8109,14036,--,2
2496,8110,14037,--,2
2497,8111,14038,--,2
2498,8113,14039,--,2
2499,8114,14040,--,2
2500,8115,14041,--,2
2501,8116,14042,--,2
2502,8117,14043,--,2
2503,8118,14044,--,2
2504,8119,14045,--,2
2505,8120,14046,--,2
2506,8122,14047,--,2
2507,8123,14048,--,2
2508,8124,14049,--,2
2509,8125,14050,--,2
2510,8126,14051,--,2
2511,8127,14052,--,2
2512,8128,14053,--,2
2513,8129,14054,--,2
2514,8130,14055,--,2
2515,8131,14056,--,2
2516,8132,14057,--,2
2517,8133,14058,--,2
2518,8134,14059,--,2
2519,8135,14060,--,2
2520,8136,14061,--,2
2521,8137,14062,--,2
2522,8138,14063,--,2
2523,8139,14064,--,2
2524,8140,14065,--,2
2525,8141,14066,--,2
2526,8142,14067,--,2
2527,8143,14068,--,2
2528,8144,14069,--,2
2529,8145,14070,--,2
2530,8146,14071,--,2
2531,8147,14072,--,2
2532,8148,14073,--,2
2533,8149,14074,--,2
2534,8151,14075,--,2
2535,8152,14076,--,2
2536,8170,14077,--,2
2537,8171,14078,--,2
2538,8172,14079,--,2
2539,8173,14080,--,2
2540,8174,14081,--,2
2541,8175,14082,--,2
2542,8176,14083,--,2
2543,8177,14084,--,2
2544,8178,14085,--,2
2545,8179,14086,--,2
2546,8180,14087,--,2
2547,8182,14088,--,2
2548,8183,14089,--,2
2549,8184,14090,--,2
2550,8201,14091,--,2
2551,8202,14092,--,2
2552,8203,14093,--,2
2553,8205,14094,--,2
2554,8206,14095,--,2
2555,8207,14096,--,2
2556,8208,14097,--,2
2557,8209,14098,--,2
2558,8210,14099,--,2
2559,8211,14100,--,2
2560,8232,14101,--,2
2561,8233,14102,--,2
2562,8234,14103,--,2
2563,8244,14104,--,2
2564,8245,14105,--,2
2565,8246,14106,--,2
2566,8247,14107,--,2
2567,8250,14108,--,2
2568,8251,14109,--,2
2569,8252,14110,--,2
2570,8253,14111,--,2
2571,8255,14112,--,2
2572,8256,14113,--,2
2573,8258,14114,--,2
2574,8259,14115,--,2
2575,8275,14116,--,2
2576,8276,14117,--,2
2577,8277,14118,--,2
2578,8278,14119,--,2
2579,8279,14120,--,2
2580,8280,14121,--,2
2581,8281,14122,--,2
2582,8282,14123,--,2
2583,8283,14124,--,2
2584,8284,14125,--,2
2585,8285,14126,--,2
2586,8286,14127,--,2
2587,8287,14128,--,2
2588,8288,14129,--,2
2589,8289,14130,--,2
2590,8290,14131,--,2
2591,8291,14132,--,2
2592,8292,14133,--,2
2593,8293,14134,--,2
2594,8294,14135,--,2
2595,8314,14136,--,2
2596,8315,14137,--,2
2597,8316,14138,--,2
2598,8317,14139,--,2
2599,8318,14140,--,2
2600,8335,14141,--,2
2601,8336,14142,--,2
2602,8337,14143,--,2
2603,8338,14144,--,2
2604,8354,14145,--,2
2605,8355,14146,--,2
2606,8356,14147,--,2
2607,8358,14148,--,2
2608,8359,14149,--,2
2609,8360,14150,--,2
2610,8361,14151,--,2
2611,8362,14152,--,2
2612,8363,14153,--,2
2613,8364,14154,--,2
2614,8365,14155,--,2
2615,8366,14156,--,2
2616,8368,14157,--,2
2617,8370,14158,--,2
2618,8391,14159,--,2
2619,8392,14160,--,2
2620,8393,14161,--,2
2621,8394,14162,--,2
2622,8395,14163,--,2
2623,8396,14164,--,2
2624,8397,14165,--,2
2625,8398,14166,--,2
2626,8399,14167,--,2
2627,8400,14168,--,2
2628,8402,14169,--,2
2629,8403,14170,--,2
2630,8404,14171,--,2
2631,8405,14172,--,2
2632,8406,14173,--,2
2633,8407,14174,--,2
2634,8408,14175,--,2
2635,8409,14176,--,2
2636,8410,14177,--,2
2637,8414,14178,--,2
2638,8415,14179,--,2
2639,8416,14180,--,2
2640,8417,14181,--,2
2641,8418,14182,--,2
2642,8419,14183,--,2
2643,8420,14184,--,2
2644,8421,14185,--,2
2645,8422,14186,--,2
2646,8424,14187,--,2
2647,8425,14188,--,2
2648,8433,14189,--,2
2649,8434,14190,--,2
2650,8435,14191,--,2
2651,8436,14192,--,2
2652,8437,14193,--,2
2653,8438,14194,--,2
2654,8439,14195,--,2
2655,8440,14196,--,2
2656,8441,14197,--,2
2657,8442,14198,--,2
2658,8443,14199,--,2
2659,8444,14200,--,2
2660,8445,14201,--,2
2661,8449,14202,--,2
2662,8450,14203,--,2
2663,8451,14204,--,2
2664,8452,14205,--,2
2665,8453,14206,--,2
2666,8454,14207,--,2
2667,8455,14208,--,2
2668,8461,14209,--,2
2669,8462,14210,--,2
2670,8463,14211,--,2
2671,8478,14212,--,2
2672,8479,14213,--,2
2673,8480,14214,--,2
2674,8481,14215,--,2
2675,8482,14216,--,2
2676,8483,14217,--,2
2677,8485,14218,--,2
2678,8486,14219,--,2
2679,8487,14220,--,2
2680,8488,14221,--,2
2681,8489,14222,--,2
2682,8490,14223,--,2
2683,8491,14224,--,2
2684,8492,14225,--,2
2685,8493,14226,--,2
2686,8494,14227,--,2
2687,8495,14228,--,2
2688,8497,14229,--,2
2689,8498,14230,--,2
2690,8516,14231,--,2
2691,8517,14232,--,2
2692,8518,14233,--,2
2693,8519,14234,--,2
2694,8520,14235,--,2
2695,8521,14236,--,2
2696,8522,14237,--,2
2697,8523,14238,--,2
2698,8524,14239,--,2
2699,8525,14240,--,2
2700,8526,14241,--,2
2701,8527,14242,--,2
2702,8528,14243,--,2
2703,8529,14244,--,2
2704,8530,14245,--,2
2705,8531,14246,--,2
2706,8532,14247,--,2
2707,8533,14248,--,2
2708,8534,14249,--,2
2709,8535,14250,--,2
2710,8536,14251,--,2
2711,8537,14252,--,2
2712,8538,14253,--,2
2713,8539,14254,--,2
2714,8540,14255,--,2
2715,8541,14256,--,2
2716,8542,14257,--,2
2717,8543,14258,--,2
2718,8544,14259,--,2
2719,8545,14260,--,2
2720,8546,14261,--,2
2721,8547,14262,--,2
2722,8549,14263,--,2
2723,8551,14264,--,2
2724,8552,14265,--,2
2725,8553,14266,--,2
2726,8554,14267,--,2
2727,8555,14268,--,2
2728,8556,14269,--,2
2729,8557,14270,--,2
2730,8558,14271,--,2
2731,8559,14272,--,2
2732,8560,14273,--,2
2733,8561,14274,--,2
2734,8562,14275,--,2
2735,8563,14276,--,2
2736,8564,14277,--,2
2737,8565,14278,--,2
2738,8566,14279,--,2
2739,8567,14280,--,2
2740,8568,14281,--,2
2741,8569,14282,--,2
2742,8570,14283,--,2
2743,8571,14284,--,2
2744,8572,14285,--,2
2745,8573,14286,--,2
2746,8575,14287,--,2
2747,8577,14288,--,2
2748,8578,14289,--,2
2749,8580,14290,--,2
2750,8581,14291,--,2
2751,8582,14292,--,2
2752,8583,14293,--,2
2753,8584,14294,--,2
2754,8586,14295,--,2
2755,8587,14296,--,2
2756,8588,14297,--,2
2757,8589,14298,--,2
2758,8590,14299,--,2
2759,8591,14300,--,2
2760,8592,14301,--,2
2761,8594,14302,--,2
2762,8595,14303,--,2
2763,8596,14304,--,2
2764,8599,14305,--,2
2765,8601,14306,--,2
2766,8602,14307,--,2
2767,8603,14308,--,2
2768,8604,14309,--,2
2769,8605,14310,--,2
2770,8606,14311,--,2
2771,8607,14312,--,2
2772,8608,14313,--,2
2773,8609,14314,--,2
2774,8610,14315,--,2
2775,8611,14316,--,2
2776,8630,14317,--,2
2777,8631,14318,--,2
2778,8632,14319,--,2
2779,8633,14320,--,2
2780,8634,14321,--,2
2781,8651,14322,--,2
2782,8652,14323,--,2
2783,8654,14324,--,2
2784,8655,14325,--,2
2785,8656,14326,--,2
2786,8667,14327,--,2
2787,8668,14328,--,2
2788,8669,14329,--,2
2789,8670,14330,--,2
2790,8671,14331,--,2
2791,8672,14332,--,2
2792,8673,14333,--,2
2793,8674,14334,--,2
2794,8675,14335,--,2
2795,8676,14336,--,2
2796,8677,14337,--,2
2797,8678,14338,--,2
2798,8679,14339,--,2
2799,8680,14340,--,2
2800,8681,14341,--,2
2801,8682,14342,--,2
2802,8683,14343,--,2
2803,8684,14344,--,2
2804,8685,14345,--,2
2805,8693,14346,--,2
2806,8694,14347,--,2
2807,8695,14348,--,2
2808,8696,14349,--,2
2809,8697,14350,--,2
2810,8698,14351,--,2
2811,8699,14352,--,2
2812,8708,14353,--,2
2813,8709,14354,--,2
2814,8710,14355,--,2
2815,8731,14356,--,2
2816,8732,14357,--,2
2817,8733,14358,--,2
2818,8734,14359,--,2
2819,8735,14360,--,2
2820,8736,14361,--,2
2821,8737,14362,--,2
2822,8738,14363,--,2
2823,8739,14364,--,2
2824,8740,14365,--,2
2825,8741,14366,--,2
2826,8742,14367,--,2
2827,8743,14368,--,2
2828,8744,14369,--,2
2829,8753,14370,--,2
2830,8754,14371,--,2
2831,8763,14372,--,2
2832,8784,14373,--,2
2833,8785,14374,--,2
2834,8786,14375,--,2
2835,8788,14376,--,2
2836,8789,14377,--,2
2837,8790,14378,--,2
2838,8791,14379,--,2
2839,8792,14380,--,2
2840,8793,14381,--,2
2841,8794,14382,--,2
2842,8795,14383,--,2
2843,8796,14384,--,2
2844,8797,14385,--,2
2845,8799,14386,--,2
2846,8803,14387,--,2
2847,8804,14388,--,2
2848,8805,14389,--,2
2849,8806,14390,--,2
2850,8808,14391,--,2
2851,8809,14392,--,2
2852,8810,14393,--,2
2853,8811,14394,--,2
2854,8812,14395,--,2
2855,8813,14396,--,2
2856,8814,14397,--,2
2857,8817,14398,--,2
2858,8818,14399,--,2
2859,8820,14400,--,2
2860,8821,14401,--,2
2861,8822,14402,--,2
2862,8823,14403,--,2
2863,8824,14404,--,2
2864,8825,14405,--,2
2865,8826,14406,--,2
2866,8827,14407,--,2
2867,8828,14408,--,2
2868,8829,14409,--,2
2869,8830,14410,--,2
2870,8831,14411,--,2
2871,8832,14412,--,2
2872,8833,14413,--,2
2873,8834,14414,--,2
2874,8835,14415,--,2
2875,8836,14416,--,2
2876,8837,14417,--,2
2877,8838,14418,--,2
2878,8839,14419,--,2
2879,8840,14420,--,2
2880,8841,14421,--,2
2881,8842,14422,--,2
2882,8843,14423,--,2
2883,8844,14424,--,2
2884,8845,14425,--,2
2885,8846,14426,--,2
2886,8847,14427,--,2
2887,8848,14428,--,2
2888,8849,14429,--,2
2889,8850,14430,--,2
2890,8851,14431,--,2
2891,8852,14432,--,2
2892,8853,14433,--,2
2893,8854,14434,--,2
2894,8860,14435,--,2
2895,8861,14436,--,2
2896,8863,14437,--,2
2897,8864,14438,--,2
2898,8865,14439,--,2
2899,8866,14440,--,2
2900,8867,14441,--,2
2901,8868,14442,--,2
2902,8869,14443,--,2
2903,8870,14444,--,2
2904,8877,14445,--,2
2905,8878,14446,--,2
2906,8879,14447,--,2
2907,8880,14448,--,2
2908,8881,14449,--,2
2909,8882,14450,--,2
2910,8883,14451,--,2
2911,8884,14452,--,2
2912,8905,14453,--,2
2913,8906,14454,--,2
2914,8907,14455,--,2
2915,8908,14456,--,2
2916,8909,14457,--,2
2917,8911,14458,--,2
2918,8912,14459,--,2
2919,8917,14460,--,2
2920,8918,14461,--,2
2921,8930,14462,--,2
2922,8931,14463,--,2
2923,8932,14464,--,2
2924,8933,14465,--,2
2925,8934,14466,--,2
2926,8942,14467,--,2
2927,8943,14468,--,2
2928,8944,14469,--,2
2929,8946,14470,--,2
2930,8947,14471,--,2
2931,8948,14472,--,2
2932,8949,14473,--,2
2933,8950,14474,--,2
2934,8951,14475,--,2
2935,8952,14476,--,2
2936,8953,14477,--,2
2937,8954,14478,--,2
2938,8955,14479,--,2
2939,8956,14480,--,2
2940,8957,14481,--,2
2941,8958,14482,--,2
2942,8959,14483,--,2
2943,8960,14484,--,2
2944,8961,14485,--,2
2945,8962,14486,--,2
2946,8963,14487,--,2
2947,8964,14488,--,2
2948,8965,14489,--,2
2949,8966,14490,--,2
2950,8967,14491,--,2
2951,8968,14492,--,2
2952,8969,14493,--,2
2953,8970,14494,--,2
2954,8971,14495,--,2
2955,8972,14496,--,2
2956,8973,14497,--,2
2957,8982,14498,--,2
2958,8984,14499,--,2
2959,8985,14500,--,2
2960,8986,14501,--,2
2961,8987,14502,--,2
2962,8988,14503,--,2
2963,8989,14504,--,2
2964,8990,14505,--,2
2965,8993,14506,--,2
2966,8994,14507,--,2
2967,8995,14508,--,2
2968,8999,14509,--,2
2969,9000,14510,--,2
2970,9001,14511,--,2
2971,9002,14512,--,2
2972,9003,14513,--,2
2973,9004,14514,--,2
2974,9005,14515,--,2
2975,9006,14516,--,2
2976,9007,14517,--,2
2977,9008,14518,--,2
2978,9009,14519,--,2
2979,9010,14520,--,2
2980,9011,14521,--,2
2981,9012,14522,--,2
2982,9013,14523,--,2
2983,9014,14524,--,2
2984,9015,14525,--,2
2985,9016,14526,--,2
2986,9017,14527,--,2
2987,9018,14528,--,2
2988,9019,14529,--,2
2989,9020,14530,--,2
2990,9021,14531,--,2
2991,9022,14532,--,2
2992,9023,14533,--,2
2993,9024,14534,--,2
2994,9025,14535,--,2
2995,9027,14536,--,2
2996,9028,14537,--,2
2997,9030,14538,--,2
2998,9031,14539,--,2
2999,9032,14540,--,2
3000,9033,14541,--,2
3001,9034,14542,--,2
3002,9035,14543,--,2
3003,9036,14544,--,2
3004,9037,14545,--,2
3005,9038,14546,--,2
3006,9039,14547,--,2
3007,9040,14548,--,2
3008,9041,14549,--,2
3009,9042,14550,--,2
3010,9048,14551,--,2
3011,9049,14552,--,2
3012,9050,14553,--,2
3013,9051,14554,--,2
3014,9052,14555,--,2
3015,9053,14556,--,2
3016,9054,14557,--,2
3017,9055,14558,--,2
3018,9056,14559,--,2
3019,9057,14560,--,2
3020,9070,14561,--,2
3021,9071,14562,--,2
3022,9072,14563,--,2
3023,9073,14564,--,2
3024,9074,14565,--,2
3025,9075,14566,--,2
3026,9076,14567,--,2
3027,9077,14568,--,2
3028,9078,14569,--,2
3029,9079,14570,--,2
3030,9080,14571,--,2
3031,9081,14572,--,2
3032,9082,14573,--,2
3033,9083,14574,--,2
3034,9084,14575,--,2
3035,9094,14576,--,2
3036,9095,14577,--,2
3037,9096,14578,--,2
3038,9097,14579,--,2
3039,9098,14580,--,2
3040,9099,14581,--,2
3041,9100,14582,--,2
3042,9106,14583,--,2
3043,9109,14584,--,2
3044,9110,14585,--,2
3045,9111,14586,--,2
3046,9112,14587,--,2
3047,9114,14588,--,2
3048,9116,14589,--,2
3049,9117,14590,--,2
3050,9118,14591,--,2
3051,9119,14592,--,2
3052,9120,14593,--,2
3053,9121,14594,--,2
3054,9122,14595,--,2
3055,9123,14596,--,2
3056,9124,14597,--,2
3057,9125,14598,--,2
3058,9126,14599,--,2
3059,9127,14600,--,2
3060,9128,14601,--,2
3061,9129,14602,--,2
3062,9130,14603,--,2
3063,9131,14604,--,2
3064,9132,14605,--,2
3065,9133,14606,--,2
3066,9134,14607,--,2
3067,9135,14608,--,2
3068,9136,14609,--,2
3069,9137,14610,--,2
3070,9138,14611,--,2
3071,9143,14612,--,2
3072,9144,14613,--,2
3073,9145,14614,--,2
3074,9146,14615,--,2
3075,9147,14616,--,2
3076,9150,14617,--,2
3077,9151,14618,--,2
3078,9152,14619,--,2
3079,9153,14620,--,2
3080,9154,14621,--,2
3081,9158,14622,--,2
3082,9159,14623,--,2
3083,9160,14624,--,2
3084,9161,14625,--,2
3085,9162,14626,--,2
3086,9163,14627,--,2
3087,9164,14628,--,2
3088,9165,14629,--,2
3089,9166,14630,--,2
3090,9167,14631,--,2
3091,9168,14632,--,2
3092,9169,14633,--,2
3093,9170,14634,--,2
3094,9171,14635,--,2
3095,9172,14636,--,2
3096,9173,14637,--,2
3097,9174,14638,--,2
3098,9175,14639,--,2
3099,9176,14640,--,2
3100,9177,14641,--,2
3101,9179,14642,--,2
3102,9180,14643,--,2
3103,9181,14644,--,2
3104,9182,14645,--,2
3105,9183,14646,--,2
3106,9186,14647,--,2
3107,9187,14648,--,2
3108,9188,14649,--,2
3109,9189,14650,--,2
3110,9190,14651,--,2
3111,9192,14652,--,2
3112,9193,14653,--,2
3113,9194,14654,--,2
3114,9195,14655,--,2
3115,9196,14656,--,2
3116,9197,14657,--,2
3117,9198,14658,--,2
3118,9199,14659,--,2
3119,9200,14660,--,2
3120,9201,14661,--,2
3121,9202,14662,--,2
3122,9203,14663,--,2
3123,9204,14664,--,2
3124,9205,14665,--,2
3125,9206,14666,--,2
3126,9207,14667,--,2
3127,9208,14668,--,2
3128,9209,14669,--,2
3129,9210,14670,--,2
3130,9212,14671,--,2
3131,9213,14672,--,2
3132,9214,14673,--,2
3133,9215,14674,--,2
3134,9216,14675,--,2
3135,9217,14676,--,2
3136,9218,14677,--,2
3137,9219,14678,--,2
3138,9220,14679,--,2
3139,9221,14680,--,2
3140,9222,14681,--,2
3141,9223,14682,--,2
3142,9224,14683,--,2
3143,9225,14684,--,2
3144,9226,14685,--,2
3145,9227,14686,--,2
3146,9228,14687,--,2
3147,9229,14688,--,2
3148,9230,14689,--,2
3149,9231,14690,--,2
3150,9232,14691,--,2
3151,9233,14692,--,2
3152,9234,14693,--,2
3153,9235,14694,--,2
3154,9236,14695,--,2
3155,9237,14696,--,2
3156,9238,14697,--,2
3157,9239,14698,--,2
3158,9240,14699,--,2
3159,9241,14700,--,2
3160,9242,14701,--,2
3161,9243,14702,--,2
3162,9244,14703,--,2
3163,9245,14704,--,2
3164,9246,14705,--,2
3165,9247,14706,--,2
3166,9248,14707,--,2
3167,9249,14708,--,2
3168,9250,14709,--,2
3169,9252,14710,--,2
3170,9254,14711,--,2
3171,9255,14712,--,2
3172,9256,14713,--,2
3173,9257,14714,--,2
3174,9258,14715,--,2
3175,9259,14716,--,2
3176,9260,14717,--,2
3177,9261,14718,--,2
3178,9266,14719,--,2
3179,9267,14720,--,2
3180,9268,14721,--,2
3181,9269,14722,--,2
3182,9271,14723,--,2
3183,9272,14724,--,2
3184,9273,14725,--,2
3185,9274,14726,--,2
3186,9275,14727,--,2
3187,9276,14728,--,2
3188,9286,14729,--,2
3189,9292,14730,--,2
3190,9293,14731,--,2
3191,9294,14732,--,2
3192,9295,14733,--,2
3193,9296,14734,--,2
3194,9299,14735,--,2
3195,9300,14736,--,2
3196,9301,14737,--,2
3197,9302,14738,--,2
3198,9303,14739,--,2
3199,9304,14740,--,2
3200,9305,14741,--,2
3201,9306,14742,--,2
3202,9307,14743,--,2
3203,9308,14744,--,2
3204,9309,14745,--,2
3205,9312,14746,--,2
3206,9313,14747,--,2
3207,9314,14748,--,2
3208,9315,14749,--,2
3209,9316,14750,--,2
3210,9317,14751,--,2
3211,9318,14752,--,2
3212,9319,14753,--,2
3213,9320,14754,--,2
3214,9322,14755,--,2
3215,9323,14756,--,2
3216,9324,14757,--,2
3217,9325,14758,--,2
3218,9326,14759,--,2
3219,9327,14760,--,2
3220,9328,14761,--,2
3221,9329,14762,--,2
3222,9330,14763,--,2
3223,9331,14764,--,2
3224,9337,14765,--,2
3225,9338,14766,--,2
3226,9339,14767,--,2
3227,9340,14768,--,2
3228,9341,14769,--,2
3229,9342,14770,--,2
3230,9343,14771,--,2
3231,9344,14772,--,2
3232,9345,14773,--,2
3233,9346,14774,--,2
3234,9367,14775,--,2
3235,9368,14776,--,2
3236,9369,14777,--,2
3237,9370,14778,--,2
3238,9371,14779,--,2
3239,9376,14780,--,2
3240,9377,14781,--,2
3241,9396,14782,--,2
3242,9397,14783,--,2
3243,9398,14784,--,2
3244,9399,14785,--,2
3245,9400,14786,--,2
3246,9401,14787,--,2
3247,9402,14788,--,2
3248,9403,14789,--,2
3249,9404,14790,--,2
3250,9405,14791,--,2
3251,9406,14792,--,2
3252,9407,14793,--,2
3253,9408,14794,--,2
3254,9420,14795,--,2
3255,9421,14796,--,2
3256,9422,14797,--,2
3257,9423,14798,--,2
3258,9442,14799,--,2
3259,9443,14800,--,2
3260,9444,14801,--,2
3261,9445,14802,--,2
3262,9446,14803,--,2
3263,9447,14804,--,2
3264,9448,14805,--,2
3265,9449,14806,--,2
3266,9450,14807,--,2
3267,9451,14808,--,2
3268,9452,14809,--,2
3269,9453,14810,--,2
3270,9454,14811,--,2
3271,9455,14812,--,2
3272,9456,14813,--,2
3273,9457,14814,--,2
